pipe_tag,break_date
wp526,2022-08-10
p3844,2022-08-12
p3978,2022-08-19
wp37055,2022-08-22
wp15798,2022-08-22
r4037,2022-09-25
wp28997,2022-09-19
t4183,2022-10-12
u4435,2022-10-12
wp359,2022-10-14
p5166,2022-10-17
p4971,2022-10-18
t45110,2022-10-23
wp27467,2022-11-17
u4594,2022-11-29
p408,2022-11-30
u4621,2022-12-01
wp14391,2022-12-01
r4459,2022-11-23
s43183,2022-12-02
t4437,2022-12-02
s43183,2022-12-02
s43181,2022-12-02
wp15165,2022-12-07
wp27467,2022-12-09
wp23135,2022-12-16
wp1479,2022-12-22
u467,2022-12-27
wp9897,2022-12-29
s42139,2022-12-30
r4382,2022-12-30
q5414,2022-12-30
wp10280,2022-12-31
wp10280,2022-12-31
u4443,2022-12-31
p408,2023-01-01
wp22920,2023-01-01
o47177,2023-01-03
p4739,2023-01-04
t4149,2023-01-05
wp17913,2023-01-09
wp11554,2023-01-09
wp3212,2023-01-09
wp12834,2023-01-09
s42175,2023-01-09
o4746,2023-01-17
s4439,2023-01-12
v46173,2023-01-17
wp24919,2023-01-17
wp1847,2023-01-17
wp20630,2023-01-18
p5237,2023-01-20
w4220,2023-01-20
p4669,2023-01-31
l455,2023-02-04
wp34891,2023-02-06
p5617,2023-02-06
t4588,2023-02-06
wp5808,2023-02-10
wp2595,2023-02-12
wp32195,2023-02-20
t4392,2023-02-20
wp2595,2023-02-17
wp27932,2023-03-01
t4460,2023-03-07
p5141,2023-03-08
q45329,2023-03-20
s3911,2023-03-24
r4259,2023-03-29
t44126,2023-03-31
q5036,2023-04-03
1126,2023-04-06
p4683,2023-04-17
p4683,2023-04-17
wp3212,2023-04-20
wp4602,2023-04-23
wp4602,2023-04-24
12664,2023-04-26
q42128,2023-05-10
t4314,2023-05-14
wp10928,2023-05-18
s3981,2023-05-28
u4181,2023-05-29
u4181,2023-05-29
wp1208,2023-05-30
p48105,2023-06-01
16999,2023-06-06
u4130,2023-06-06
o474,2023-06-12
p48113,2023-06-14
wp17570,2023-06-16
u4131,2023-06-18
wp12828,2023-06-21
wp15798,2023-06-26
wp12832,2023-06-22
q48141,2023-06-27
q48141,2023-07-10
wp1379,2023-07-10
l3715,2023-07-11
wp1379,2023-07-11
r39163,2023-07-12
14353,2023-07-13
q4064,2023-07-17
wp359,2023-07-17
wp7470,2023-07-17
p45183,2023-07-20
p45183,2023-07-19
s3911,2023-07-20
t4046,2023-07-22
wp2914,2023-07-24
s42102,2023-07-25
r333,2023-07-26
q4264,2023-07-24
r4479,2023-07-27
t437,2023-07-28
r39191,2023-07-31
s3911,2023-08-04
q43114,2023-08-05
wp18452,2023-08-15
wp16456,2023-08-21
t4235,2023-08-22
v303,2023-08-23
t43170,2023-08-28
13806,2023-09-14
wp39485,2023-09-15
wp21423,2023-09-15
o47131,2023-09-17
wp6315,2023-09-26
p4979,2023-09-27
wp680,2023-09-28
q5061,2023-10-02
5162,2023-10-03
wp9342,2023-10-04
p5141,2023-10-04
r4188,2023-10-07
wp20070,2023-10-07
s42139,2023-10-10
s42139,2023-10-10
p408,2023-10-16
5162,2023-10-16
wp20623,2023-10-17
v4599,2023-10-23
r4577,2023-10-25
wp685,2023-10-26
12207,2023-10-26
u4515,2023-11-02
wp29128,2023-11-02
wp33489,2023-11-02
o46104,2023-11-09
wp33656,2023-11-09
wp6755,2023-11-15
21763,2023-11-16
27208,2023-11-17
p5037,2023-11-17
s4114,2023-11-27
s439,2023-12-11
wp32386,2023-12-13
t4165,2023-12-13
s443,2023-12-16
v46102,2023-12-16
r4382,2023-12-17
13236,2023-12-21
wp29155,2023-12-26
wp29557,2023-12-26
v46119,2023-12-27
o4319,2024-01-05
q47142,2024-01-11
q4659,2024-01-15
wp25764,2024-01-17
q46133,2024-01-17
t43172,2024-01-18
p4678,2024-01-19
wp26008,2024-01-19
v45113,2024-01-19
s45100,2024-01-20
u4622,2024-01-20
q48200,2024-01-21
p49114,2024-01-22
s4439,2024-01-23
v4721,2024-01-23
wp10149,2024-01-24
q4497,2024-01-29
wp9995,2024-01-30
r44142,2024-02-04
wp3647,2024-02-04
wp3647,2024-02-04
p5115,2024-02-10
p5151,2024-02-11
wp2511,2024-02-15
r38153,2024-02-20
r3870,2024-02-25
p504,2024-02-27
x442,2024-03-01
r38158,2024-03-04
wp16219,2024-03-07
p48113,2024-03-19
p48109,2024-03-19
p48115,2024-03-19
p48108,2024-03-19
p48114,2024-03-19
q5312,2024-03-21
wp30596,2024-03-22
w297,2024-03-23
11285,2024-04-03
v4562,2024-04-08
wp28626,2024-04-12
wp1805,2024-04-27
n434,2024-04-29
wp29135,2024-04-30
m401,2024-05-02
wp38358,2024-05-06
wp18364,2024-05-06
p4415,2024-05-08
m411,2024-05-20
p40109,2024-06-08
r38124,2024-06-10
6923,2024-06-13
k4451,2024-06-14
q48328,2024-06-14
r38124,2024-06-15
s4530,2024-06-17
wp29262,2024-06-18
q44197,2024-06-20
s42171,2024-06-20
wp32629,2024-06-21
wp27217,2024-06-21
p4415,2024-06-21
s4224,2024-06-23
p504,2024-06-24
wp15788,2024-06-25
wp27321,2024-06-26
wp2508,2024-06-26
w297,2024-06-26
p46216,2024-06-28
wp5676,2024-07-03
4681,2024-07-08
wp4149,2024-07-09
249,2024-07-10
2797,2024-07-10
3295,2024-07-11
q44210,2024-07-11
wp8647,2024-07-11
 ,2024-07-12
wp35532,2024-07-22
s4224,2024-07-22
s4224,2024-07-23
wp12674,2024-07-23
5451,2024-07-23
8128,2024-07-24
wp35532,2024-07-24
25617,2024-07-26
wp25544,2024-08-01
r45140,2024-08-01
s4042,2024-08-07
p505,2024-08-13
p4415,2024-08-15
wp25755,2024-08-16
p45219,2024-08-18
17551,2024-08-19
wp26524,2024-08-19
 ,2024-08-20
p44128,2024-08-22
q42144,2024-09-03
wp9393,2024-09-04
p4131,2024-09-04
v46108,2024-09-13
25876,2024-09-13
u4594,2024-09-16
r4439,2024-09-18
p4712,2024-09-20
n4215,2024-09-24
wp17671,2024-09-24
wp1251,2024-09-26
10923,2024-10-03
p4695,2024-10-16
13259,2024-10-17
r3844,2024-10-18
v46159,2024-10-22
23798,2024-10-22
s4218,2024-10-28
wp27652,2024-10-29
wp24919,2024-10-29
5751,2024-10-30
p3844,2024-11-04
wp10272,2024-11-06
wp685,2024-11-19
wp18892,2024-11-19
wp18892,2024-11-20
q607,2024-11-23
wp12467,2024-11-29
p5148,2024-11-30
q3957,2024-12-04
wp24955,2024-12-05
s4134,2024-12-06
s4274,2024-12-06
s4069,2024-12-07
p5025,2024-12-09
wp14011,2024-12-12
v4466,2024-12-12
q44107,2024-12-13
2931,2024-12-13
wp21763,2024-12-23
wp14391,2025-01-07
wp18455,2025-01-08
t4162,2025-01-09
s44111,2025-01-14
wp26270,2025-01-14
l44148,2025-01-17
l455,2025-01-17
q4874,2025-01-19
r42183,2025-01-22
q48128,2025-01-23
p43128,2025-01-23
n4345,2025-01-24
p4647,2025-01-31
r4245,2025-02-02
o322,2025-02-03
v4713,2025-02-04
t4570,2025-02-04
m411,2025-02-05
22093,2025-02-05
l4531,2025-02-16
m372,2025-02-16
wp33962,2025-02-17
wp34459,2025-02-21
wp27388,2025-02-24
r4439,2025-02-25
wp22094,2025-02-26
wp25764,2025-03-18
21992,2025-03-20
wp20221,2025-03-27
wp657,2025-03-27
15618,2025-04-03
21785,2025-04-08
t44110,2025-04-14
t43158,2025-04-14
629,2025-04-16
wp5723,2025-04-21
wp162,2025-04-22
wp19744,2025-04-28
p4444,2025-04-29
29415,2025-05-05
wp3089,2025-05-22
t4186,2025-05-22
t4257,2025-05-25
wp8397,2025-06-24
wp32563,2025-06-30
wp32564,2025-06-30
wp32562,2025-06-30
wp39837,2025-07-01
wp2595,2025-07-01
s40101,2025-07-05
12529,2025-07-06
wp23598,2025-07-07
wp12290,2025-07-21
wp10261,2025-07-21
r44201,2025-07-23
wp8583,2025-07-26
wp4813,2025-08-05
wp23236,2025-08-07
wp25545,2025-08-14
wp25545,2025-08-14
wp5720,2025-08-15
wp5719,2025-08-15
wp2869,2025-08-15
wp5727,2025-08-15
x453,2025-08-15
t4443,2013-01-01
wp15724,2013-01-02
t4142,2013-01-04
p47228,2013-01-11
wp20055,2013-01-11
l4410,2013-01-18
wp21631,2013-01-28
p4671,2013-01-31
wp11277,2013-02-08
wp29666,2013-02-13
q4030,2013-02-18
wp27874,2013-03-04
r3723,2013-03-05
wp7437,2013-03-27
wp22898,2013-03-28
s40154,2013-04-03
wp29498,2013-04-07
o4770,2013-04-08
wp29551,2013-04-12
wp8548,2013-04-15
q468,2013-04-15
wp29617,2013-04-17
wp27936,2013-04-26
v46139,2013-05-02
wp23883,2013-05-06
r3723,2013-05-09
wp29537,2013-05-23
v47109,2013-05-26
wp29632,2013-05-31
wp4918,2013-06-21
wp22747,2013-06-25
wp30918,2013-07-05
v46127,2013-07-09
t4063,2013-07-11
v46124,2013-07-25
wp1376,2013-07-26
wp31748,2013-09-07
wp29515,2013-09-09
wp1545,2013-09-19
s4454,2013-10-28
v47109,2013-11-01
wp28981,2013-11-22
t4437,2013-11-24
u4143,2013-11-30
wp3019,2013-12-02
t45112,2013-12-10
t44102,2013-12-15
wp28981,2013-12-17
q47124,2013-12-27
r473,2014-01-07
q341,2014-01-10
wp18401,2014-01-14
wp31149,2014-01-14
m401,2014-01-14
m401,2014-01-14
wp21774,2014-01-16
u4621,2014-01-17
r4390,2014-01-20
n4215,2014-01-27
l44114,2014-01-29
u4621,2014-01-20
wp12455,2014-01-24
wp6769,2014-01-30
wp3440,2014-01-31
wp5422,2014-02-14
wp5973,2014-02-01
wp5627,2014-02-08
r4598,2014-02-10
wp9825,2014-02-11
q45226,2014-02-15
s4140,2014-02-22
wp21047,2014-02-23
p579,2014-03-11
wp22212,2014-04-05
wp734,2014-04-19
wp734,2014-04-29
wp29717,2014-05-07
q491,2014-05-14
s40105,2014-05-21
wp27310,2014-06-17
n4315,2014-07-06
wp5829,2014-07-15
wp680,2014-07-18
s4398,2014-07-24
r39126,2014-07-25
l3895,2014-08-11
s3921,2014-08-17
o483,2014-08-24
o483,2014-08-25
o4843,2014-08-25
o4843,2014-08-25
wp23639,2014-08-25
p44123,2014-09-08
wp13585,2014-09-08
wp16673,2014-09-09
o4843,2014-09-22
t4570,2014-10-24
wp3999,2014-10-02
wp7398,2014-11-09
t43157,2014-11-13
v47101,2014-11-24
r542,2014-11-19
r4727,2014-12-04
v4758,2014-12-06
wp31748,2014-12-09
v47109,2014-12-10
wp9880,2014-12-28
wp30642,2014-12-28
q4516,2014-12-30
s4316,2014-12-31
wp8992,2015-01-05
s44171,2015-01-10
r4427,2015-01-15
q357,2015-01-15
o4617,2015-01-18
s4534,2015-01-19
wp30706,2015-01-23
s4033,2015-01-23
q4896,2015-02-03
q4428,2015-02-04
r45125,2015-02-21
s4877,2015-02-23
p4131,2015-02-22
p5037,2015-03-01
o47113,2015-03-28
o47113,2015-03-06
wp10211,2015-03-21
p3952,2015-03-26
wp17913,2015-04-11
wp25745,2015-04-28
q4962,2015-05-10
v4559,2015-05-28
s40143,2015-05-28
t44126,2015-05-31
wp3333,2015-06-09
wp18501,2015-06-10
wp29397,2015-06-11
p46106,2015-06-11
o4730,2015-06-15
q5115,2015-06-16
wp32640,2015-06-29
wp31054,2015-06-29
s414,2015-07-06
t40124,2015-07-07
r42160,2015-07-30
r4658,2015-07-31
p4921,2015-08-04
q46189,2015-08-05
r4382,2015-08-05
s46260,2015-08-04
p504,2015-08-05
u4594,2015-08-05
wp33553,2015-08-06
t45110,2015-08-07
p5148,2015-08-11
p5080,2015-08-12
p5080,2015-08-13
wp5687,2015-08-13
q3431,2015-09-02
u45119,2015-09-07
r543,2015-09-10
wp3229,2015-09-16
wp31071,2015-09-16
wp1096,2015-09-19
s4164,2015-09-22
r3913,2015-09-23
wp33223,2015-09-28
wp13301,2015-09-28
s462,2015-09-30
s3925,2015-09-30
wp12072,2015-10-16
p5148,2015-10-07
q3513,2015-10-17
t43207,2015-10-20
wp10211,2015-10-20
wp3436,2015-10-21
s42111,2015-10-19
r552,2015-10-21
wp2694,2015-10-28
wp7877,2015-10-31
wp29128,2015-11-01
s4244,2015-11-03
q3920,2015-11-04
wp2595,2015-11-05
wp14391,2015-11-08
r543,2015-11-16
t4142,2015-11-16
s40135,2015-11-17
m4036,2015-11-20
wp29725,2015-11-23
r3724,2015-11-25
wp23257,2015-11-26
v4684,2015-11-30
wp8557,2015-12-03
s392,2015-12-15
v45104,2015-12-23
wp31607,2015-12-24
wp15005,2015-12-28
i4223,2016-01-06
wp20055,2016-01-07
o4912,2016-01-07
p3469,2016-01-09
wp22143,2016-01-11
o4783,2016-01-11
r3967,2016-01-12
v4684,2016-01-19
wp18207,2016-01-22
s439,2016-01-25
wp11033,2016-02-08
v46138,2016-02-12
u4152,2016-02-16
wp5432,2016-02-18
wp6845,2016-03-01
v439,2016-04-30
r3870,2016-05-11
wp31396,2016-05-27
s3948,2016-06-01
wp7514,2016-06-06
t4186,2016-06-17
p5617,2016-06-20
s3933,2016-06-24
q3431,2016-07-20
s4030,2016-07-28
wp1894,2016-07-29
q505,2016-09-02
p48111,2016-09-09
s552,2016-09-24
wp3440,2016-09-26
p5141,2016-10-05
v4559,2016-10-27
l3884,2016-10-28
v45115,2016-11-11
wp23968,2016-11-12
u467,2016-11-16
p5035,2016-11-19
wp34021,2016-11-22
v4745,2016-11-23
p48206,2016-12-01
p4491,2016-12-01
p5617,2016-12-01
wp32224,2016-12-08
wp22920,2016-12-08
o4738,2016-12-14
q5414,2016-12-15
wp26666,2016-12-19
s44125,2016-12-20
t4152,2016-12-21
wp3654,2016-12-21
r3724,2016-12-25
o501,2016-12-29
r38171,2017-01-01
s4155,2017-01-06
r38171,2017-01-13
s4453,2017-01-24
t46188,2017-01-24
t46188,2017-02-08
q4496,2017-02-09
p3950,2017-02-23
o4830,2017-04-13
q3434,2017-04-29
wp18454,2017-05-01
wp3647,2017-06-30
s4035,2017-07-10
v47109,2017-07-12
s3933,2017-07-14
r3899,2017-07-18
u4515,2017-07-22
q42144,2017-07-24
r38132,2017-07-25
wp30603,2017-07-28
wp8659,2017-08-14
wp25546,2017-08-18
wp5324,2017-08-20
u4515,2017-08-26
r38168,2017-09-05
r3860,2017-09-06
wp5425,2017-09-06
q42211,2017-09-08
wp32404,2017-09-12
wp25745,2017-09-18
k4551,2017-10-04
s4155,2017-10-06
m3923,2017-10-19
p46108,2017-10-20
v4575,2017-10-30
wp18207,2017-10-31
n468,2017-11-01
s4081,2017-11-01
u4550,2017-11-02
wp20055,2017-11-04
u408,2017-11-07
o4537,2017-11-11
wp30918,2017-11-19
s44169,2017-11-19
u4627,2017-11-29
u4343,2017-12-10
t4066,2017-12-11
p3924,2017-12-12
l44147,2017-12-13
q3961,2017-12-14
r542,2017-12-16
wp32646,2017-12-18
wp21365,2017-12-24
p4971,2017-12-29
r4785,2018-01-02
u4567,2018-01-04
wp18704,2018-01-08
q46209,2018-01-08
l4499,2018-01-11
wp34565,2018-01-23
q5173,2018-01-28
o501,2018-01-28
u4567,2018-01-29
u4649,2018-02-14
v4599,2018-01-29
wp8987,2018-02-13
s3948,2018-02-26
s4581,2018-03-08
r469,2018-01-29
o322,2018-03-04
wp16053,2018-03-27
s42181,2018-04-12
wp15824,2018-05-05
s3926,2018-05-25
wp25745,2018-05-26
s3926,2018-05-28
r3844,2018-05-31
s44154,2018-06-05
r38154,2018-06-11
wp10211,2018-06-13
wp14010,2018-06-14
r38168,2018-06-14
v4313,2018-07-02
s4164,2018-07-02
p5115,2018-07-21
wp25745,2018-07-26
u4244,2018-08-21
q3954,2018-09-10
wp33651,2018-09-10
v46127,2018-09-19
s392,2018-10-02
wp217,2018-10-17
wp14864,2018-10-26
wp22143,2018-10-30
s4863,2018-11-03
r3844,2018-11-04
q3954,2018-11-12
p48111,2018-11-18
s4218,2018-11-23
