FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
0,1,t4443,1961,2013-01-01,1130,Citizen,2013-01-01,1300,1530,Freezing (30°F-39°F),2nd and Woodscrest Dr.,Central,Loop,Paved,Medium,56,1.32,0,0,3,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,Yes,0,"Ground Movement, Beam Break", ,Repaired, ,Yes, ,56,1.82,0,0,No,Yes,4,No, ,n,{0A207840-FD35-4051-93CB-1125C930FA72}
1,2,wp15724,1967,2013-01-02,1400,Citizen,2013-01-02,1545,1930,Freezing (30°F-39°F),1403 N Woodburn,Central,S to N,Paved,Medium,0,0,70,0.99,3,No,6,6.9,50,Cast Iron,Push-on/Slip,Gas,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,"Ground Movement, Beam Break", ,Repaired, ,No,Turned down valve pipe was cracked at corporation,0,0,72,1.21,No,Yes,4,No, ,n,{FDDAA76E-29E7-4355-B866-1DC440D7321B}
2,3,t4142,1971,2013-01-04,930,Tony Eads,2013-01-04,1045,1130,Below Freezing (<30°F),2407 S Spicewood Ln,Central,Loop,Paved,Light,62,1.77,82,1.86,2,Yes,4,4.81,40,Cast Iron,Not Uncovered,Live Water,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,65,1.76,83,1.9,No,Yes,2,No, ,n,{B9E6E1C3-B933-4125-B452-673516A11027}
3,4,p47228,1954,2013-01-11,800, ,2013-01-11,930,1130,Cold (40°F-55°F),1306 N Maple,Central,Loop,Paved,Medium,60,1.68,61,1.68,2,Yes,8,9.1,51,Cast Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,60,1.68,61,1.68,No,Yes,2,No, ,n,{A47ACE53-82D0-4660-B646-1E0D6474BA4C}
4,5,wp20055,1958,2013-01-11,1130, ,2013-01-11,1230,1500,Cold (40°F-55°F),1600 Maplecrest Dr,Central,Loop,Paved,Light,56,1.78,58,1.78,2, ,6,6.95,51,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,56,1.78,58,1.78,No,Yes,2,No, ,n,{FB8CF7E0-9EFD-488F-AE79-ABAC3DB01D25}
5,6,l4410,1964,2013-01-18,1000,Baxter,2013-02-05,1730,145,Cold (40°F-55°F),1001 S Curry Pike,West,Loop,Paved,Heavy,70,2.2,0,0,1,No,12,13.2,144,Cast Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,Yes,0,Ground Movement, ,Repaired, ,No, ,72,2.2,0,0,No,Yes,"2, 4",No, ,n,{012B1F9A-E4D1-4E9D-BF6E-BE17087D5F9F}
6,7,wp21631,1961,2013-01-28,1330,Marlin School,2013-01-28,1500,1745,Mild (55°F-70°F),Marlin School Bothel Ln.,Central,W to E,Lawn,None,54,1.77,0,0,2,No,6,0,48,Cast Iron,Not Uncovered, ,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, , , ,54,1.77,0,0,No,Yes,2,No,No,n,{A714649F-B1A2-460C-9A92-FF36DB4FA29D}
7,8,p4671,0,2013-01-31,1400,Parks Dept.,2013-01-31,1600,1645,Below Freezing (<30°F),1003 W 9th St,Central,Loop,Paved,Light,46,2.09,55,2,1,No,6,6.9,40,Cast Iron, , ,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,46,0,55,0,No,Yes,1.5,No, ,n,{D91C1A68-351A-41BE-AC55-787C4540BF0C}
8,9,wp11277,1970,2013-02-08,1100,Control,2013-02-08,1230,1400,Cold (40°F-55°F),215 N Jonson Ave,West,Loop,Paved,Light,59,1.9,56,1.85,2, ,6,6.95,51,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,64,1.9,60,1.85,No,Yes,2,No, ,n,{D5EDB0A3-AB52-4168-9ED3-5C073C56A7B2}
9,10,wp29666,2014,2013-02-13,100,County Police,2013-02-13,830,1030,Cold (40°F-55°F),2353 W Church Ln,Central,E to W,Paved,Medium,114,1.7,110,1.64,2,No,6,6.9,40,SDR-21 PR200,Mechanical Joint,Sewer,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0, ,Truck hit hydrant caused break; but pipe was in bad condition,Replaced, ,No,Pipe valve and hydrant had to be replaced,121,1.81,116,1.76,Yes,Yes,2,Yes,Yes,n,{ED72950F-5CFC-4C9A-B709-53F9526B6D0E}
10,11,q4030,1957,2013-02-18,1000,Bill Jonson,2013-02-18,1200,1430, ,2451 S Walnut St Pk,Central,WQC, ,Light,26,1.15,0,0,2,No,2,0,36,Cast Iron,Not Uncovered, ,Native Soils,Service Lateral, , ,Glue fitting failure,No,0,Damaged When Installed,Glue fitting,Repaired, ,No,Turned meter off,106,2.2,0,0,Yes,Yes,Vactor,Yes,No,n,{4A26A450-7568-498C-A67A-510B0F780B65}
11,12,wp27874,2013,2013-03-04,1600,Home Owner,2013-03-04,1700,2130,Cold (40°F-55°F),3712 S Fenway Pl, ,N to S,Paved,Light,0,0.94,98,0.94,2,No,2,2.38,60,SDR-21 PR200,Not Uncovered,Sewer,Native Soils,Water Main,Pipe Barrel,Both,Blow Hole,Yes,2,Ground Movement, ,Replaced, ,Yes, ,98,0.94,98,0.94, ,Yes,4,Yes,No,n,{94AC78A8-D802-4670-97F6-D15121F073E0}
12,13,r3723,1989,2013-03-05,2330,Control,2013-03-06,830,1130,Freezing (30°F-39°F),3912 S Baytree Ln,South,Loop,Lawn,None,46,1.9,48,1.9,0, ,6,6.9,50,Ductile Iron,Not Uncovered,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,0,Defect in Pipe, ,Repaired, ,No, ,56,1.83,58,1.85,No,Yes,"2, 4",Yes,No,y,{454AE7A2-A3B1-456A-95DE-116E9B3DA6F3}
13,14,wp7437,1954,2013-03-27,930, ,2013-03-27,930,1130,Cold (40°F-55°F),1075 N Jordan,Central,N to S,Lawn,None,69,1.82,68,1.82,3, ,6,0,58,Cast Iron,Mechanical Joint,None,Gravel/Sand,Water Main,Other, , ,No,0, ,Cap old hydrant,Replaced, ,No, ,69,1.8,68,1.79,Yes,Yes,4,Yes,No,n,{DC35110C-4E5C-47AB-BBCE-63D410897F60}
14,15,wp22898,1957,2013-03-28,2200, ,2013-03-29,730,1100,Cold (40°F-55°F),106 N Hillsdale Dr,Central,Loop,Paved,Medium,49,1.54,56,1.85,1,No,6,6.9,45,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,49,0.23,56,0.54,No,Yes,"2, 4",Yes,No,n,{8934D322-343D-49E2-89DA-C939DCCCE75A}
