FID,workorderi,descriptio,initiateda,entityuid,woaddress,what_happe,globalid
0,488,Urgent Water Main Break Repair,2022-08-10,wp526,"3205 WEST STATE ROAD 45, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{FA4264CC-FA6F-40B8-851A-3F0F611ED8ED}
1,505,Urgent Water Main Break Repair,2022-08-12,p3844,"3645 SOUTH ROGERS ST, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{2C5A6833-616C-488A-BCB3-6789C1CCB94B}
2,606,Urgent Water Main Break Repair,2022-08-19,p3978,"3109 S ROGERS ST, BLOOMINGTON, IN, 47403",Main Break (Includes a BWA),{5C6F6D15-0C07-43E4-A503-9DFC2C2F8A93}
3,608,Urgent Water Main Break Repair,2022-08-22,wp37055,"2301 N SMITH PIKE, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{2D860EBB-40D6-4B77-ACDF-1175B1B0875E}
4,609,Urgent Water Main Break Repair,2022-08-22,wp15798,"2421 N FRITZ DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{C42DE88C-59C8-4928-8E26-827C49CB5968}
5,1064,Urgent Water Main Break Repair,2022-09-25,r4037,"2463 SOUTH WINSLOW CT, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{41C952C0-339C-452D-9545-32FFC77C2A2B}
6,1088,Urgent Water Main Break Repair,2022-09-19,wp28997,"3229 SOUTH COPPERTREE DR, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{CAF73F3C-3616-4C5D-A47D-FFC2A69CE2F1}
7,1403,Urgent Water Main Break Repair,2022-10-12,t4183,"2698 SOUTH MCCARTNEY LN, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{676896BC-90A6-4DA9-BCEF-25D391F99738}
8,1451,Urgent Water Main Break Repair,2022-10-12,u4435,"716 S FIELDCREST AVE, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{7F05A58E-6361-4EE6-AE56-4BF8AA4B4A58}
9,1466,Urgent Water Main Break Repair,2022-10-14,wp359,"1211 W ACACIA CT, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{A75D01AE-6B31-4E26-AF9A-C49DB495E657}
10,1483,Urgent Water Main Break Repair,2022-10-17,p5166,"3501 NORTH WINDCREST DR, BLOOMINGTON, IN, 47404",Main Leak (No BWA),{CF44C870-97BA-410F-A507-0B9706012563}
11,1500,Urgent Water Main Break Repair,2022-10-18,p4971,"1600 NORTH WILLIS DR, BLOOMINGTON, IN, 47404",Main Break (Includes a BWA),{30DA0FE0-8101-4A9C-B588-AABF3EE47006}
12,1571,Urgent Water Main Break Repair,2022-10-23,t45110,"515 SOUTH WOODSCREST DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{EECEF079-4394-4B08-8968-2574C475FF4C}
13,1908,Urgent Water Main Break Repair,2022-11-17,wp27467,"SOUTH LORI LN, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{0C1BF1AC-FB52-48DA-8D3E-DEDC4CEED259}
14,1998,Urgent Water Main Break Repair,2022-11-29,u4594,"3522 EAST MORNINGSIDE DR, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{5BB8A74D-5F13-46CA-9981-16FD0B45F1B6}
15,2017,Urgent Water Main Break Repair,2022-11-30,p408,"2706 SOUTH BANTA AVE, BLOOMINGTON, IN, 47403",Main Leak (No BWA),{8CF475C1-198A-46EE-ACDD-690CC621C49C}
16,2041,Urgent Water Main Break Repair,2022-12-01,u4621,"522 N KERRY DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{8A1F9310-FBE2-428D-B3F8-9DAEF85F2B27}
17,2042,Urgent Water Main Break Repair,2022-12-01,wp14391,"1402 SOUTH HENDERSON ST, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{790E2CC5-9013-4ABE-8C8F-E71B672EBBDF}
18,2047,Urgent Water Main Break Repair,2022-11-23,r4459,"1015 SOUTH MANOR RD, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{E89D5B6A-E9EE-4AC5-ADC4-8E158764E527}
19,2050,Urgent Water Main Break Repair,2022-12-02,s43183,"2302 EAST WOODSTOCK PL, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{7B5BE1C4-10B2-4507-A285-03EF4EC90971}
20,2055,Urgent Water Main Break Repair,2022-12-02,t4437,"628 SOUTH WOODSCREST DR, BLOOMINGTON, IN, 47401",Main Break (Includes a BWA),{95C21930-3389-46A6-836E-95C11EB1E0DE}
21,2058,Urgent Water Main Break Repair,2022-12-02,s43183,"2302 EAST WOODSTOCK PL, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{86FC9B25-341F-4C69-BD49-1A2E3B024C89}
22,2058,Urgent Water Main Break Repair,2022-12-02,s43181,"2302 EAST WOODSTOCK PL, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{6D1F0455-C4E6-45DC-AE02-DB96263F2254}
23,2111,Urgent Water Main Break Repair,2022-12-07,wp15165,"2279 EAST 10TH ST, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{7EC718EB-56B4-448F-A1A6-2B36E949755C}
24,2146,Urgent Water Main Break Repair,2022-12-09,wp27467,"70 LORI LN, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{4AD49BFD-0C4C-43AD-9BD8-7378C8D12B5E}
25,2180,Urgent Service Line Break Repair,2022-12-16,wp23135,"3226 SOUTH MEETING HOUSE CT, BLOOMINGTON, IN, 47403",Service Line Strike,{E9210606-8E4B-4AA5-B875-A2A851B84DB9}
26,2211,Urgent Service Line Break Repair,2022-12-22,wp1479,"909 SOUTH DUNN ST, BLOOMINGTON, IN, 47401",Service Line Strike,{1C9427A2-B211-4254-AF0B-DBDB34D68B55}
27,2254,Urgent Water Main Break Repair,2022-12-27,u467,"3442 EAST LONGVIEW AVE, BLOOMINGTON, IN, 47408",Main Break (Includes a BWA),{D3058ED5-DA7E-499D-9A01-E6542F827761}
28,2267,Urgent Water Main Break Repair,2022-12-29,wp9897,"411 SOUTH WOODSCREST DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{D738E891-FD5A-41E9-95CC-84DF1A50E9E8}
29,2271,Urgent Water Main Break Repair,2022-12-30,s42139,"2225 E QUEENS WAY, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{24D829B8-CDC8-49C3-A6B0-775BD4B9CD6B}
30,2272,Urgent Water Main Break Repair,2022-12-30,r4382,"940 SOUTH HAWTHORNE DR, BLOOMINGTON, IN, 47401",Main Leak (No BWA),{1C3BDDBB-BB1A-4EF2-946F-49D88A6B357F}
31,2273,Urgent Water Main Break Repair,2022-12-30,q5414,"504 EAST AUDUBON DR, BLOOMINGTON, IN, 47408",Main Leak (No BWA),{DA1796DC-849F-4923-A1E8-0D2AB1FD05AB}
