FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
0,wpbrk0001,12/21/94,12/21/94,6,unknown,unknown,1704 Circle Dr, ,n,{6BBF49E8-3442-45A3-8B4B-705FA24D3DF3}
1,wpbrk0002,12/27/94,12/27/94,6,DI,1981,722 Waterloo (?), ,n,{D4BFF8B6-1E16-4868-A824-82A5F4992A70}
2,wpbrk0003,12/27/94,12/28/94,6,CI-lead joint,1922,1016 W Sixth St, ,n,{594EA10E-1E74-4507-A906-BEBB3F61C242}
3,wpbrk0004,12/13/94,12/13/94,6,unknown,unknown,302 Clover, ,n,{5AF18851-372A-4139-AF84-489196605711}
4,wpbrk0005,12/13/94,12/15/94,6,CI,1967,Harvey & Sunset, ,n,{51837016-5FFC-4611-81C2-6B0CA7C27667}
5,wpbrk0006,12/13/94,12/15/94,6,CI,unknown,412 E University, ,n,{19598B3E-4F37-460C-99FD-A42B9CC7087A}
6,wpbrk0008,12/15/94,0/0/0,unk,unknown,unknown,"""Pipe repair - Sunny Slopes""", ,n,{0DA0D493-DD12-4FBF-9443-79328EBB043F}
7,wpbrk0009,12/08/94,12/15/94,16,CI,1960,Orris & Monroe, ,n,{DF82C0F4-7510-4B79-8A2A-D49190E5E905}
8,wpbrk0010,11/29/94,11/29/94,6,CI,1988,2005 Vernal Pike, ,n,{E0AD8348-3B50-4F65-8CBF-2F53955FA43B}
9,wpbrk0011,11/29/94,11/30/94,6,CI-lead joint,1922,1012 W 6th St, ,n,{29C1878B-6F36-4495-82B9-9B5EA70E846E}
10,wpbrk0013,11/22/94,11/23/94,6,CI,1962,642 Village, ,n,{67FBE349-797D-4542-9BAD-4287025B6C41}
11,wpbrk0014,11/25/94,11/28/94,36,PCCP,1966,5500 Block of Handy, ,n,{BB93EE81-E3FD-45F3-9F1A-273F2D12F257}
12,wpbrk0015, , ,36,PCCP,1966, , ,n,{CA68F877-92E8-4FF0-A22C-635C79E3F1CB}
13,wpbrk0017, , ,8,DI,1992, , ,n,{FC75500E-FD0A-439B-BC66-1C155283061B}
14,wpbrk0019, , ,unk,unknown,unknown, , ,n,{9BC8C773-69E7-43C5-BBEC-991C6E9B9E18}
15,wpbrk0021,10/27/94,10/28/94,unk,CI,1965,Corner SW Allen and Walnut, ,n,{E04644DC-AE8E-4EC1-B330-3FBBA55AC42D}
16,wpbrk0022,10/28/94,10/30/94,6,CI,1964,Corner of Sheffield and Plymouth, ,n,{01694CB6-A421-4624-B940-B67BCCB91611}
17,wpbrk0024,10/21/94,10/21/94,2,Galvanized,1946,Duncan, ,n,{9C39A651-E762-439C-97CB-0D9227131FFB}
18,wpbrk0027,10/20/94,10/20/94,6,CI,1958,801 Pleasant Ridge, ,n,{0B2F652A-700A-4612-A9B7-4B759DFDF201}
19,wpbrk0028,10/12/94,10/12/94,unk,unknown,unknown,4050 Barge Lane, ,n,{BD5342BF-DCC1-45D6-984E-076F180DEEA0}
20,wpbrk0030,09/20/94,10/07/94,12,unknown,unknown,2399 W Bloomfield Rd (SR 45), ,n,{955F4FA8-DC5F-410D-8C29-A65725902650}
21,wpbrk0031,09/20/94,11/07/94,6,CI,unknown,Corner University and Lincoln, ,n,{2EA2FE2B-C6F0-4872-8FF0-A2FE882E4604}
22,wpbrk0032,09/16/94,09/16/94,1.5,Galvanized,unknown,105 S Bryan, ,n,{651E6C2D-8F2C-460B-AACA-C7D61ABE15C3}
23,wpbrk0033,09/12/94,09/13/94,16,CI-lead joint,1931,111-115 S Union, ,n,{35100783-9C80-4010-897C-AB45E0760B76}
24,wpbrk0034,09/04/94,09/06/94,6,unknown,unknown,2415 Con2415 Cottonwood, ,n,{E693A4F5-12A7-4943-85B8-69E7B528B04D}
25,wpbrk0036,08/26/94,0/0/0,unk,unknown,unknown,12th and Park, ,n,{2FF452C6-4522-48C1-AB0F-251AE8F723E2}
26,wpbrk0037,08/23/94,08/23/94,6,CI,1960,840 Woodcrest, ,n,{9C0852A2-8603-428F-BD73-CA257E9EE8C2}
27,wpbrk0039, , ,20,CI-lead joint,1931, , ,n,{C303D167-2337-4A9B-B641-1743F92C53FC}
28,wpbrk0040,08/22/94,08/22/94,8,CI,1962,1430 N Jordan, ,n,{7B2BD545-A5C8-4FAF-85F0-C76B101A290F}
29,wpbrk0041,08/09/94,08/10/94,6,CI-lead joint,1920,300 Block N. Jordan,"Exact installation year not known, but during the decade of the 1920s.",n,{CA03DB37-611B-4F9B-8319-E289CFDD78EA}
30,wpbrk0042,08/03/94,09/22/94,unk,unknown,unknown,3rd and Madison, ,n,{66548059-4C29-427A-A724-3C85B61379C5}
31,wpbrk0043,08/03/94,08/08/94,unk,unknown,unknown,Corner Rockport Rd and Country CLub (Tapp)l, ,n,{6A72208D-2091-4C67-BC30-01987AFD57D2}
32,wpbrk0044,07/29/94,07/29/94,6,CI,1960,602 Ravencrest, ,n,{80AE9832-6D65-4D34-B2F0-60C4FDF79409}
33,wpbrk0045,07/15/94,07/22/94,6,unknown,unknown,4244 Grand Ave, ,n,{ECD16F65-B5D7-4FF0-B506-A5BC16B89B06}
34,wpbrk0046,07/13/94,07/13/94,6,DI,1976,665 Meadowlark, ,n,{304DA245-D3A1-4D72-92B2-A38D60758788}
35,wpbrk0047,07/07/94,07/08/94,6,CI,1967,839 Harvey, ,n,{3ABFF2AB-1CA9-42EE-9215-7021C122F1B6}
36,wpbrk0048,07/11/94,07/26/94,unk,unknown,unknown,3rd and Pleasant Ridge, ,n,{76272D40-FEF4-4E60-AF50-153597869DF4}
37,wpbrk0049,06/28/94,06/29/94,14,CI-lead joint,1931,812 S High, ,n,{808699C8-2992-45FC-870A-BEA476685AB2}
