OBJECTID,tag,status,cbu,owner,metered,fire_line,diameter,material,polywrap,yr_inst,length,yr_abandon,yr_removed,yr_replace,comments,NumberOfMa,Shape_Leng,Score,Soil_Comp,Soil_Comp_Full,Soil_Hydro_Group,Shape_Length,ElevChange,NumberofSLs
1,m411,i,y,CBU,n,n,6,CI,n,1961,425,0, , , ,3,425.2469398,2,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,425.2469398,1.648986816,9
2,m4117,i,y,CBU,n,n,2,C,n,1983,58,0, , , ,0,57.60063311,0,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,57.60063311,0.349121094,0
3,m4130,i,y,CBU,n,n,12,DI,n,1987,28,0, , , ,0,28.43157291,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,28.43157291,0.013092041,0
4,m4032,i,y,CBU,n,n,6,CI,n,1965,18,0, , , ,0,18.12631008,3,Ua,"Udorthents, loamy",,18.12631008,0.582748413,1
5,m4046,i,y,CBU,n,n,6,CI,n,1969,91,0, , , ,0,90.66497207,3,Ua,"Udorthents, loamy",,90.66497207,1.354766846,1
6,m3938,i,y,CBU,n,n,6,DI,n,1976,124,0, , , ,0,123.6895838,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,123.6895838,1.713317871,2
7,m3966,i,y,CBU,n,n,6,CI,n,1966,49,0, , , ,0,49.07882884,3,Ua,"Udorthents, loamy",,49.07882883,0.515823364,1
8,m3945,i,y,CBU,n,n,6,CI,n,1972,344,0, , , ,0,344.4388432,4,Ua,"Udorthents, loamy",,344.4388432,3.248565674,4
9,l393,i,y,CBU,n,n,6,CI,n,1968,52,0, , , ,0,52.08867061,3,Ua,"Udorthents, loamy",,52.08867061,0.299972534,0
10,l3882,i,y,CBU,n,n,6,CI,n,1961,23,0, , , ,0,22.98975682,3,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,22.98975682,0.430145264,0
11,wp1274,i,y,CBU,n,n,8,DI,n,1994,46,0, , , ,0,47.16737724,4,HaD,"Hagerstown silt loam, 12 to 20 percent slopes",Group C,47.16737725,1.040145874,1
12,wp1276,i,y,CBU,n,n,8,DI,n,1994,194,0, , , ,0,194.359602,4,Wa,"Wakeland silt loam, 0 to 2 percent slopes, frequently flooded",Group B/D,194.359602,1.21105957,0
13,wp1299,i,y,CBU,n,n,12,DI,n,1992,86,0, , , ,0,83.7481195,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group C,83.74811951,1.665893555,0
14,wp3217,i,y,CBU,n,n,8,DI,n,1995,18,0, , , ,0,18.160986,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,18.160986,0.653839111,0
15,wp4684,i,y,CBU,n,n,12,DI,n,1996,237,0, , , ,0,237.3597665,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,237.3597665,0.879699707,1
16,wp5189,i,y,CBU,n,n,12,DI,n,1996,53,0, , , ,0,53.25535724,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,53.25535724,0.592651367,0
17,wp5169,i,y,CBU,n,n,12,DI,n,1996,352,0, , , ,0,352.2563633,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,352.2563633,1.3984375,0
18,wp7479,i,y,CBU,n,n,20,DI,n,1996,54,0, , , ,0,41.37938719,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,41.37938719,0.066131592,0
19,wp8041,i,y,CBU,n,n,12,DI,n,1998,60,0, , , ,0,59.95317557,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,59.95317558,0.140304565,0
20,wp8217,i,y,CBU,n,n,8,DI,n,1998,68,0, , , ,0,62.58488543,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,62.58488543,0.56048584,0
21,wp9023,i,y,CBU,n,n,6,DI,n,1999,165,0, , , ,0,165.1864185,4,TlB,"Zanesville silt loam, 2 to 6 percent slopes",Group C/D,165.1864185,1.7081604,0
22,wp6560,i,y,CBU,n,n,12,DI,n,1997,34,0, , , ,0,34.79304997,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,34.79304997,0.114013672,1
23,wp9628,i,y,CBU,n,n,8,DI,n,1999,223,0, , , ,0,223.7072854,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,223.7072854,3.352554321,2
24,wp12865,i,y,CBU,n,n,6,DI,n,2001,492,0, , , ,0,493.0857306,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C/D,493.0857306,4.391525269,5
25,wp4663,i,y,CBU,n,n,12,DI,n,1996,40,0, , ,"Despite the difference between Length and st_length, the as-built does state the Length as 40 feet.",0,57.84437197,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,57.84437197,1.206619263,0
26,wp512,i,y,CBU,n,n,12,DI,n,1994,29,0, , , ,0,29.20839047,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,29.20839047,0.914291382,0
27,wp15129,i,y,CBU,n,n,8,DI,n,2003,473,0, , , ,0,471.3348404,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,471.3348404,3.792144775,0
28,wp15134,i,y,CBU,n,n,6,DI,n,2003,49,0, , , ,0,38.41621427,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,38.41621427,1.298400879,0
29,wp4674,i,y,CBU,n,n,6,CI,n,1973,178,0, , , ,0,178.3726986,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,178.3726986,0.65385437,0
30,wp4664,i,y,CBU,n,n,12,DI,n,1996,24,0, , ,"Despite the difference between Length and st_length, the as-built does state the Length as 24 feet.",0,18.97872372,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,18.97872372,0,0
31,wp4667,i,y,CBU,n,n,12,DI,n,1996,600,0, , , ,0,602.6012833,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,602.6012833,2.801361084,0
32,wp1249,i,y,CBU,n,n,8,DI,n,1991,68,0, , , ,0,68.12382214,4,HaD,"Hagerstown silt loam, 12 to 20 percent slopes",Group C,68.12382214,0.332717896,0
33,wp14161,i,y,CBU,n,n,12,CI,n,1969,470,0, , , ,1,470.1966418,2,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,470.1966418,0.6015625,2
34,wp19254,i,y,CBU,n,n,16,DI,n,2005,262,0, , , ,0,286.6934644,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,286.6934644,2.767059326,0
35,wp6448,i,y,CBU,n,n,12,DI,n,1996,61,0, , ,150' fire line tap to hydrant tee,0,61.37419038,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,61.37419038,0.973876953,0
36,wp5171,i,y,CBU,n,n,8,DI,n,1996,113,0, , , ,0,111.6994638,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,111.6994638,1.396362305,0
37,l4017,i,y,CBU,n,n,6,CI,n,1965,315,0, , , ,0,314.9064181,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,314.9064181,0.685516357,4
38,wp17290,i,y,CBU,n,n,12,CIL,n,1915,195,0, , , ,1,194.9235791,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,194.9235791,1.51776123,1
39,m3931,i,y,CBU,n,n,6,CI,n,1972,201,0, , , ,0,201.3249917,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,201.3249917,2.6590271,4
40,l3878,i,y,CBU,n,n,6,CI,n,1961,426,0, , , ,0,426.2622813,3,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,426.2622813,1.092224121,3
41,wp9625,i,y,CBU,n,n,8,DI,n,1999,144,0, , , ,0,136.3766968,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,136.3766968,1.60256958,1
42,l397,i,y,CBU,n,n,6,CI,n,1968,401,0, , , ,0,401.3628771,3,Ua,"Udorthents, loamy",,401.3628771,2.482254028,7
43,m417,i,y,CBU,n,n,6,CI,n,1961,393,0, , , ,1,392.5225028,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,392.5225028,5.970825195,4
44,m418,i,y,CBU,n,n,6,CI,n,1961,649,0, , , ,2,648.8201287,2,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,648.8201287,3.550964355,5
45,wp4352,i,y,CBU,n,n,20,DI,n,1996,130,0, , , ,0,130.2904311,4,HoB,"Hosmer silt loam, 2 to 6 percent slopes",Group D,130.2904311,0.87272644,0
46,wp22343,i,y,CBU,n,n,20,DI,n,1996,137,0, , , ,0,135.1198273,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,135.1198273,1.173828125,0
47,m3861,i,y,CBU,n,n,4,CI,n,1971,564,0, , , ,0,563.7518253,4,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,563.7518254,5.910568237,5
48,k457,i,y,CBU,n,n,6,CI,n,1969,287,0, , , ,0,287.3190808,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,287.3190808,0.798156738,5
49,k4447,i,y,CBU,n,n,4,CI,n,1970,88,0, , , ,0,88.0462857,3,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,88.0462857,0.500549316,2
50,k4426,i,y,CBU,n,n,6,CI,n,1967,117,0, , , ,0,116.8729447,3,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,116.8729447,0.37512207,1
51,m456,i,y,CBU,n,n,6,DI,n,1991,272,0, , , ,0,272.393156,4,HoA,"Hosmer silt loam, 0 to 2 percent slopes",Group D,272.393156,0.387023926,0
52,m4313,i,y,CBU,n,n,12,DI,n,1985,109,0, , , ,0,108.7221494,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,108.7221493,0.084594727,1
53,l4491,i,y,CBU,n,n,6,CI,n,1962,538,0, , , ,0,537.6183869,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,537.6183869,2.771850586,9
54,l428,i,y,CBU,n,n,6,CI,n,1970,25,0, , , ,0,25.10181854,3,Ba,"Bartle silt loam, 0 to 2 percent slopes",Group C/D,25.10181854,0,0
55,l4213,i,y,CBU,n,n,12,CI,n,1968,44,0, , , ,0,44.01581592,3,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,44.01581592,0.096130371,0
56,m4534,i,y,CBU,n,n,12,DI,n,1989,164,0, , , ,0,163.7142095,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,163.7142095,2.470947266,0
57,wp1632,i,y,CBU,n,n,6,DI,n,1981,158,0, , , ,0,158.2455185,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,158.2455185,0.202484131,2
58,l4547,i,y,CBU,n,n,12,CI,n,1962,130,0, , , ,0,129.9911154,3,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,129.9911154,0.53225708,1
59,l471,i,y,CBU,n,n,24,DI,n,1967,1004,0, , , ,0,1004.061924,3,Cb,"Caneyville-Hagerstown silt loams, 2 to 18 percent slopes, karst",Group C,1004.061924,7.830627441,0
